,City,Record ID_x,Agency Code_x,Agency Name_x,Agency Type_x,State_x,Year_x,Month_x,Incident_x,Crime Type_x,Crime Solved_x,Victim Sex_x,Victim Age_x,Victim Race_x,Victim Ethnicity_x,Perpetrator Sex_x,Perpetrator Age_x,Perpetrator Race_x,Perpetrator Ethnicity_x,Relationship_x,Weapon_x,Victim Count_x,Perpetrator Count_x,Record Source_x,Record ID_y,Agency Code_y,Agency Name_y,Agency Type_y,State_y,Year_y,Month_y,Incident_y,Crime Type_y,Crime Solved_y,Victim Sex_y,Victim Age_y,Victim Race_y,Victim Ethnicity_y,Perpetrator Sex_y,Perpetrator Age_y,Perpetrator Race_y,Perpetrator Ethnicity_y,Relationship_y,Weapon_y,Victim Count_y,Perpetrator Count_y,Record Source_y,Unnamed: 0,Latitude,Longitude
77,Autauga,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,9,32.5165255,-86.6319403
78,Avery,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,643,38.195551,-120.38188443229167
79,Avoyelles,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,467,31.0471604,-92.0019698
80,Baca,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1579,37.3147687,-102.5770885
81,Bacon,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1195,31.5555512,-82.4442559
82,Bailey,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1308,34.0349194,-102.8149372
83,Baker,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,205,30.3143459,-82.2847163
84,Baldwin,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,10,30.5677527,-87.7324392
85,Ballard,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1409,47.6765073,-122.3862233
86,Baltimore,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,512,39.2908816,-76.610759
